Frequency [Hz], FFT Amplitude [Vrms]
2046.875,0.031
2054.687,0.029
2062.5,0.031
2070.312,0.033
2078.125,0.032
2085.937,0.03
2093.75,0.029
2101.562,0.029
2109.375,0.028
2117.187,0.031
2125,0.032
2132.812,0.03
2140.625,0.027
2148.437,0.024
2156.25,0.028
2164.062,0.032
2171.875,0.03
2179.687,0.027
2187.5,0.028
2195.312,0.031
2203.125,0.031
2210.937,0.029
2218.75,0.027
2226.562,0.028
2234.375,0.029
2242.187,0.031
2250,0.029
2257.812,0.028
2265.625,0.029
2273.437,0.027
2281.25,0.027
2289.062,0.026
2296.875,0.027
2304.687,0.028
2312.5,0.024
2320.312,0.026
2328.125,0.026
2335.937,0.027
2343.75,0.024
2351.562,0.024
2359.375,0.028
2367.187,0.03
2375,0.029
2382.812,0.027
2390.625,0.029
2398.437,0.027
2406.25,0.024
2414.062,0.027
2421.875,0.028
2429.687,0.025
2437.5,0.026
2445.312,0.026
2453.125,0.025
2460.937,0.027
2468.75,0.027
2476.562,0.025
2484.375,0.028
2492.187,0.028
2500,0.029
2507.812,0.026
2515.625,0.025
2523.437,0.024
2531.25,0.023
2539.062,0.022
2546.875,0.019
2554.687,0.023
2562.5,0.027
2570.312,0.028
2578.125,0.024
2585.937,0.025
2593.75,0.024
2601.562,0.026
2609.375,0.024
2617.187,0.024
2625,0.024
2632.812,0.025
2640.625,0.024
2648.437,0.022
2656.25,0.023
2664.062,0.028
2671.875,0.028
2679.687,0.026
2687.5,0.024
2695.312,0.024
2703.125,0.024
2710.937,0.025
2718.75,0.025
2726.562,0.025
2734.375,0.024
2742.187,0.021
2750,0.022
2757.812,0.022
2765.625,0.023
2773.437,0.024
2781.25,0.025
2789.062,0.023
2796.875,0.022
2804.687,0.023
2812.5,0.022
2820.312,0.023
2828.125,0.023
2835.937,0.024
2843.75,0.021
2851.562,0.022
2859.375,0.023
2867.187,0.025
2875,0.022
2882.812,0.02
2890.625,0.02
2898.437,0.022
2906.25,0.021
2914.062,0.022
2921.875,0.022
2929.687,0.024
2937.5,0.024
2945.312,0.021
2953.125,0.021
2960.937,0.021
2968.75,0.021
2976.562,0.021
2984.375,0.02
2992.187,0.021
3000,0.023
3007.812,0.022
3015.625,0.023
3023.437,0.02
3031.25,0.023
3039.062,0.026
3046.875,0.022
3054.687,0.02
3062.5,0.018
3070.312,0.018
3078.125,0.02
3085.937,0.02
3093.75,0.02
3101.562,0.019
3109.375,0.022
3117.187,0.022
3125,0.019
3132.812,0.021
3140.625,0.022
3148.437,0.02
3156.25,0.022
3164.062,0.022
3171.875,0.021
3179.687,0.02
3187.5,0.021
3195.312,0.02
3203.125,0.023
3210.937,0.024
3218.75,0.022
3226.562,0.022
3234.375,0.02
3242.187,0.018
3250,0.019
3257.812,0.018
3265.625,0.02
3273.437,0.019
3281.25,0.018
3289.062,0.019
3296.875,0.019
3304.687,0.021
3312.5,0.022
3320.312,0.018
3328.125,0.019
3335.937,0.02
3343.75,0.019
3351.562,0.019
3359.375,0.02
3367.187,0.019
3375,0.019
3382.812,0.019
3390.625,0.018
3398.437,0.019
3406.25,0.019
3414.062,0.021
3421.875,0.019
3429.687,0.022
3437.5,0.022
3445.312,0.021
3453.125,0.02
3460.937,0.02
3468.75,0.02
3476.562,0.021
3484.375,0.019
3492.187,0.02
3500,0.021
3507.812,0.021
3515.625,0.022
3523.437,0.02
3531.25,0.021
3539.062,0.019
3546.875,0.019
3554.687,0.02
3562.5,0.021
3570.312,0.019
3578.125,0.018
3585.937,0.02
3593.75,0.021
3601.562,0.02
3609.375,0.02
3617.187,0.021
3625,0.019
3632.812,0.022
3640.625,0.023
3648.437,0.022
3656.25,0.023
3664.062,0.02
3671.875,0.018
3679.687,0.018
3687.5,0.019
3695.312,0.019
3703.125,0.021
3710.937,0.018
3718.75,0.017
3726.562,0.018
3734.375,0.019
3742.187,0.021
3750,0.02
3757.812,0.02
3765.625,0.022
3773.437,0.021
3781.25,0.018
3789.062,0.018
3796.875,0.02
3804.687,0.02
3812.5,0.017
3820.312,0.016
3828.125,0.015
3835.937,0.019
3843.75,0.021
3851.562,0.021
3859.375,0.018
3867.187,0.019
3875,0.018
3882.812,0.017
3890.625,0.017
3898.437,0.019
3906.25,0.02
3914.062,0.018
3921.875,0.017
3929.687,0.018
3937.5,0.018
3945.312,0.018
3953.125,0.018
3960.937,0.019
3968.75,0.018
3976.562,0.018
3984.375,0.016
3992.187,0.019
