time,pitch_desired,ang_pitch,angvel_pitch,u2
3.3,-0.317700231,-0.257679843,-0.917614602,0.010531587
3.32,-0.331566801,-0.275505556,-0.864956668,0.011214305
3.34,-0.344124829,-0.292243974,-0.808885145,0.011852765
3.36,-0.355324753,-0.307829039,-0.749621323,0.012444447
3.38,-0.365122372,-0.322199243,-0.687399087,0.012987017
3.4,-0.373479021,-0.335297874,-0.622464001,0.013478333
3.42,-0.380361718,-0.347073237,-0.555072335,0.013916457
3.44,-0.385743301,-0.357478861,-0.485490051,0.014299658
3.46,-0.389602532,-0.366473679,-0.41399176,0.014626425
3.48,-0.39192418,-0.374022193,-0.340859632,0.014895469
3.5,-0.392699082,-0.380094612,-0.266382288,0.015105727
3.52,-0.39192418,-0.384666972,-0.190853654,0.015256369
3.54,-0.389602532,-0.387721226,-0.114571808,0.015346802
3.56,-0.385743301,-0.389245322,-0.037837799,0.015376667
3.58,-0.380361718,-0.389233245,0.039045538,0.015345848
3.6,-0.373479021,-0.387685042,0.11577478,0.015254466
3.62,-0.365122372,-0.384606823,0.192047113,0.015102882
3.64,-0.355324753,-0.380010737,0.267561522,0.014891693
3.66,-0.344124829,-0.373914921,0.342019989,0.014621734
3.68,-0.331566801,-0.366343435,0.415128659,0.014294069
3.7,-0.317700231,-0.357326158,0.486599006,0.013909993
3.72,-0.302579843,-0.346898678,0.556148969,0.013471019
3.74,-0.286265311,-0.335102148,0.623504066,0.012978882
3.76,-0.26882102,-0.321983123,0.688398478,0.012435523
3.78,-0.250315815,-0.307593377,0.750576095,0.011843087
3.8,-0.230822729,-0.291989701,0.809791531,0.011203912
3.82,-0.21041869,-0.275233674,0.86581109,0.01052052
3.84,-0.189184225,-0.257391427,0.918413688,0.009795608
3.86,-0.167203137,-0.238533373,0.967391727,0.009032037
3.88,-0.144562174,-0.218733936,1.012551913,0.008232821
3.9,-0.12135069,-0.198071257,1.053716019,0.007401114
3.92,-0.09766029,-0.176626881,1.090721589,0.006540198
3.94,-0.07358447,-0.154485439,1.123422579,0.005653471
3.96,-0.049218246,-0.131734314,1.151689934,0.004744432
3.98,-0.024657779,-0.108463294,1.175412095,0.003816669
4,3.2955E-15,-0.084764218,1.194495441,0.002873844
4.02,0.024657779,-0.060730617,1.208864659,0.001919676
4.04,0.049218246,-0.03645734,1.218463041,0.000957933
4.06,0.07358447,-0.012040183,1.223252706,-7.59095E-06
4.08,0.09766029,0.012424492,1.223214751,-0.000973085
4.1,0.12135069,0.036840132,1.218349326,-0.001934739
4.12,0.144562174,0.061110382,1.208675634,-0.002888757
4.14,0.167203137,0.085139457,1.19423185,-0.003831374
4.16,0.189184225,0.108832525,1.17507498,-0.004758871
4.18,0.21041869,0.132096081,1.151280625,-0.005667587
4.2,0.230822729,0.154838314,1.122942691,-0.006553935
4.22,0.250315815,0.176969472,1.090173016,-0.007414418
4.24,0.26882102,0.198402211,1.053100926,-0.00824564
4.26,0.286265311,0.219051947,1.011872728,-0.00904432
4.28,0.302579843,0.238837186,0.96665113,-0.009807306
4.3,0.317700231,0.257679843,0.917614602,-0.010531587
4.32,0.331566801,0.275505556,0.864956668,-0.011214305
4.34,0.344124829,0.292243974,0.808885145,-0.011852765
4.36,0.355324753,0.307829039,0.749621323,-0.012444447
4.38,0.365122372,0.322199243,0.687399087,-0.012987017
4.4,0.373479021,0.335297874,0.622464001,-0.013478333
4.42,0.380361718,0.347073237,0.555072335,-0.013916457
4.44,0.385743301,0.357478861,0.485490051,-0.014299658
4.46,0.389602532,0.366473679,0.41399176,-0.014626425
4.48,0.39192418,0.374022193,0.340859632,-0.014895469
4.5,0.392699082,0.380094612,0.266382288,-0.015105727
4.52,0.39192418,0.384666972,0.190853654,-0.015256369
4.54,0.389602532,0.387721226,0.114571808,-0.015346802
4.56,0.385743301,0.389245322,0.037837799,-0.015376667
4.58,0.380361718,0.389233245,-0.039045538,-0.015345848
4.6,0.373479021,0.387685042,-0.11577478,-0.015254466
4.62,0.365122372,0.384606823,-0.192047113,-0.015102882
4.64,0.355324753,0.380010737,-0.267561522,-0.014891693
4.66,0.344124829,0.373914921,-0.342019989,-0.014621734
4.68,0.331566801,0.366343435,-0.415128659,-0.014294069
4.7,0.317700231,0.357326158,-0.486599006,-0.013909993
4.72,0.302579843,0.346898678,-0.556148969,-0.013471019
4.74,0.286265311,0.335102148,-0.623504066,-0.012978882
4.76,0.26882102,0.321983123,-0.688398478,-0.012435523
4.78,0.250315815,0.307593377,-0.750576095,-0.011843087
4.8,0.230822729,0.291989701,-0.809791531,-0.011203912
4.82,0.21041869,0.275233674,-0.86581109,-0.01052052
4.84,0.189184225,0.257391427,-0.918413688,-0.009795608
4.86,0.167203137,0.238533373,-0.967391727,-0.009032037
4.88,0.144562174,0.218733936,-1.012551913,-0.008232821
4.9,0.12135069,0.198071257,-1.053716019,-0.007401114
4.92,0.09766029,0.176626881,-1.090721589,-0.006540198
4.94,0.07358447,0.154485439,-1.123422579,-0.005653471
4.96,0.049218246,0.131734314,-1.151689934,-0.004744432
4.98,0.024657779,0.108463294,-1.175412095,-0.003816669
5,2.32604E-14,0.084764218,-1.194495441,-0.002873844
5.02,-0.024657779,0.060730617,-1.208864659,-0.001919676
5.04,-0.049218246,0.03645734,-1.218463041,-0.000957933
5.06,-0.07358447,0.012040183,-1.223252706,7.59095E-06
5.08,-0.09766029,-0.012424492,-1.223214751,0.000973085
5.1,-0.12135069,-0.036840132,-1.218349326,0.001934739
5.12,-0.144562174,-0.061110382,-1.208675634,0.002888757
5.14,-0.167203137,-0.085139457,-1.19423185,0.003831374
5.16,-0.189184225,-0.108832525,-1.17507498,0.004758871
5.18,-0.21041869,-0.132096081,-1.151280625,0.005667587
5.2,-0.230822729,-0.154838314,-1.122942691,0.006553935
5.22,-0.250315815,-0.176969472,-1.090173016,0.007414418
5.24,-0.26882102,-0.198402211,-1.053100926,0.00824564
5.26,-0.286265311,-0.219051947,-1.011872728,0.00904432
5.28,-0.302579843,-0.238837186,-0.96665113,0.009807306
5.3,-0.317700231,-0.257679843,-0.917614602,0.010531587
5.32,-0.331566801,-0.275505556,-0.864956668,0.011214305
5.34,-0.344124829,-0.292243974,-0.808885145,0.011852765
5.36,-0.355324753,-0.307829039,-0.749621323,0.012444447
5.38,-0.365122372,-0.322199243,-0.687399087,0.012987017
5.4,-0.373479021,-0.335297874,-0.622464001,0.013478333
5.42,-0.380361718,-0.347073237,-0.555072335,0.013916457
5.44,-0.385743301,-0.357478861,-0.485490051,0.014299658
5.46,-0.389602532,-0.366473679,-0.41399176,0.014626425
5.48,-0.39192418,-0.374022193,-0.340859632,0.014895469
5.5,-0.392699082,-0.380094612,-0.266382288,0.015105727
5.52,-0.39192418,-0.384666972,-0.190853654,0.015256369
5.54,-0.389602532,-0.387721226,-0.114571808,0.015346802
5.56,-0.385743301,-0.389245322,-0.037837799,0.015376667
5.58,-0.380361718,-0.389233245,0.039045538,0.015345848
5.6,-0.373479021,-0.387685042,0.11577478,0.015254466
5.62,-0.365122372,-0.384606823,0.192047113,0.015102882
5.64,-0.355324753,-0.380010737,0.267561522,0.014891693
5.66,-0.344124829,-0.373914921,0.342019989,0.014621734
5.68,-0.331566801,-0.366343435,0.415128659,0.014294069
5.7,-0.317700231,-0.357326158,0.486599006,0.013909993
5.72,-0.302579843,-0.346898678,0.556148969,0.013471019
5.74,-0.286265311,-0.335102148,0.623504066,0.012978882
5.76,-0.26882102,-0.321983123,0.688398478,0.012435523
5.78,-0.250315815,-0.307593377,0.750576095,0.011843087
5.8,-0.230822729,-0.291989701,0.809791531,0.011203912
5.82,-0.21041869,-0.275233674,0.86581109,0.01052052
5.84,-0.189184225,-0.257391427,0.918413688,0.009795608
5.86,-0.167203137,-0.238533373,0.967391727,0.009032037
5.88,-0.144562174,-0.218733936,1.012551913,0.008232821
5.9,-0.12135069,-0.198071257,1.053716019,0.007401114
5.92,-0.09766029,-0.176626881,1.090721589,0.006540198
5.94,-0.07358447,-0.154485439,1.123422579,0.005653471
5.96,-0.049218246,-0.131734314,1.151689934,0.004744432
5.98,-0.024657779,-0.108463294,1.175412095,0.003816669
6,0,-0.084764218,1.194495441,0
