time,pitch_desired,ang_pitch,angvel_pitch,u2
4.08,0.331566801,0.053473535,4.319861914,-0.06074267
4.1,0.373479021,0.13683364,4.016148565,-0.111212547
4.12,0.39192418,0.211595984,3.460085831,-0.15469453
4.14,0.385743301,0.273062974,2.68661318,-0.188456488
4.16,0.355324753,0.317372413,1.744330742,-0.210377031
4.18,0.302579843,0.341740176,0.692445587,-0.219078811
4.2,0.230822729,0.344635147,-0.402948469,-0.214015065
4.22,0.144562174,0.325875425,-1.473023792,-0.195503964
4.24,0.049218246,0.286639751,-2.450543613,-0.164708631
4.26,-0.049218246,0.229393447,-3.274086765,-0.123564048
4.28,-0.144562174,0.157733509,-3.891907005,-0.074655482
4.3,-0.230822729,0.076162595,-4.265184415,-0.021056037
4.32,-0.302579843,-0.010193895,-4.370464601,0.033866436
4.34,-0.355324753,-0.095909865,-4.201132423,0.086660956
4.36,-0.385743301,-0.175599466,-3.767827645,0.134010249
4.38,-0.39192418,-0.244255506,-3.097776398,0.172939186
4.4,-0.373479021,-0.297564075,-2.233080467,0.201001718
4.42,-0.331566801,-0.332175598,-1.228071878,0.216434572
4.44,-0.26882102,-0.345915307,-0.145899016,0.218268047
4.46,-0.189184225,-0.337919885,0.945441217,0.206386937
4.48,-0.09766029,-0.308691714,1.977375902,0.181537777
4.5,-3.99298E-14,-0.260067307,2.885064786,0.145281931
4.52,0.09766029,-0.195101915,3.61147444,0.099897486
4.54,0.189184225,-0.117877552,4.110961872,0.048236116
4.56,0.26882102,-0.033246509,4.352142451,-0.006456107
4.58,0.331566801,0.053473535,4.319861914,-0.06074267
4.6,0.373479021,0.13683364,4.016148565,-0.111212547
4.62,0.39192418,0.211595984,3.460085831,-0.15469453
4.64,0.385743301,0.273062974,2.68661318,-0.188456488
4.66,0.355324753,0.317372413,1.744330742,-0.210377031
4.68,0.302579843,0.341740176,0.692445587,-0.219078811
4.7,0.230822729,0.344635147,-0.402948469,-0.214015065
4.72,0.144562174,0.325875425,-1.473023792,-0.195503964
4.74,0.049218246,0.286639751,-2.450543613,-0.164708631
4.76,-0.049218246,0.229393447,-3.274086765,-0.123564048
4.78,-0.144562174,0.157733509,-3.891907005,-0.074655482
4.8,-0.230822729,0.076162595,-4.265184415,-0.021056037
4.82,-0.302579843,-0.010193895,-4.370464601,0.033866436
4.84,-0.355324753,-0.095909865,-4.201132423,0.086660956
4.86,-0.385743301,-0.175599466,-3.767827645,0.134010249
4.88,-0.39192418,-0.244255506,-3.097776398,0.172939186
4.9,-0.373479021,-0.297564075,-2.233080467,0.201001718
4.92,-0.331566801,-0.332175598,-1.228071878,0.216434572
4.94,-0.26882102,-0.345915307,-0.145899016,0.218268047
4.96,-0.189184225,-0.337919885,0.945441217,0.206386937
4.98,-0.09766029,-0.308691714,1.977375902,0.181537777
5,-9.30416E-14,-0.260067307,2.885064786,0.145281931
5.02,0.09766029,-0.195101915,3.61147444,0.099897486
5.04,0.189184225,-0.117877552,4.110961872,0.048236116
5.06,0.26882102,-0.033246509,4.352142451,-0.006456107
5.08,0.331566801,0.053473535,4.319861914,-0.06074267
5.1,0.373479021,0.13683364,4.016148565,-0.111212547
5.12,0.39192418,0.211595984,3.460085831,-0.15469453
5.14,0.385743301,0.273062974,2.68661318,-0.188456488
5.16,0.355324753,0.317372413,1.744330742,-0.210377031
5.18,0.302579843,0.341740176,0.692445587,-0.219078811
5.2,0.230822729,0.344635147,-0.402948469,-0.214015065
5.22,0.144562174,0.325875425,-1.473023792,-0.195503964
5.24,0.049218246,0.286639751,-2.450543613,-0.164708631
5.26,-0.049218246,0.229393447,-3.274086765,-0.123564048
5.28,-0.144562174,0.157733509,-3.891907005,-0.074655482
5.3,-0.230822729,0.076162595,-4.265184415,-0.021056037
5.32,-0.302579843,-0.010193895,-4.370464601,0.033866436
5.34,-0.355324753,-0.095909865,-4.201132423,0.086660956
5.36,-0.385743301,-0.175599466,-3.767827645,0.134010249
5.38,-0.39192418,-0.244255506,-3.097776398,0.172939186
5.4,-0.373479021,-0.297564075,-2.233080467,0.201001718
5.42,-0.331566801,-0.332175598,-1.228071878,0.216434572
5.44,-0.26882102,-0.345915307,-0.145899016,0.218268047
5.46,-0.189184225,-0.337919885,0.945441217,0.206386937
5.48,-0.09766029,-0.308691714,1.977375902,0.181537777
5.5,-1.43363E-13,-0.260067307,2.885064786,0.145281931
5.52,0.09766029,-0.195101915,3.61147444,0.099897486
5.54,0.189184225,-0.117877552,4.110961872,0.048236116
5.56,0.26882102,-0.033246509,4.352142451,-0.006456107
5.58,0.331566801,0.053473535,4.319861914,-0.06074267
5.6,0.373479021,0.13683364,4.016148565,-0.111212547
5.62,0.39192418,0.211595984,3.460085831,-0.15469453
5.64,0.385743301,0.273062974,2.68661318,-0.188456488
5.66,0.355324753,0.317372413,1.744330742,-0.210377031
5.68,0.302579843,0.341740176,0.692445587,-0.219078811
5.7,0.230822729,0.344635147,-0.402948469,-0.214015065
5.72,0.144562174,0.325875425,-1.473023792,-0.195503964
5.74,0.049218246,0.286639751,-2.450543613,-0.164708631
5.76,-0.049218246,0.229393447,-3.274086765,-0.123564048
5.78,-0.144562174,0.157733509,-3.891907005,-0.074655482
5.8,-0.230822729,0.076162595,-4.265184415,-0.021056037
5.82,-0.302579843,-0.010193895,-4.370464601,0.033866436
5.84,-0.355324753,-0.095909865,-4.201132423,0.086660956
5.86,-0.385743301,-0.175599466,-3.767827645,0.134010249
5.88,-0.39192418,-0.244255506,-3.097776398,0.172939186
5.9,-0.373479021,-0.297564075,-2.233080467,0.201001718
5.92,-0.331566801,-0.332175598,-1.228071878,0.216434572
5.94,-0.26882102,-0.345915307,-0.145899016,0.218268047
5.96,-0.189184225,-0.337919885,0.945441217,0.206386937
5.98,-0.09766029,-0.308691714,1.977375902,0.181537777
6,0,-0.260067307,2.885064786,0
